Token,Hue,Red,Green,Blue,Frequency
0000000000000000,00000000,00000000,00000000,400.000000,0,0,0,0,400
0000000000000000,00000000,00000000,01000000,400.000000,0,0,0,64,400
0000000000000000,00000000,00000000,10000000,400.000000,0,0,0,128,400
0000000000000000,00000000,00000000,11000000,400.000000,0,0,0,192,400
0000000000000000,00000000,01000000,00000000,400.000000,0,0,64,0,400
0000000000000000,00000000,01000000,01000000,400.000000,0,0,64,64,400
0000000000000000,00000000,01000000,10000000,400.000000,0,0,64,128,400
0000000000000000,00000000,01000000,11000000,400.000000,0,0,64,192,400
0000000000000000,00000000,10000000,00000000,400.000000,0,0,128,0,400
0000000000000000,00000000,10000000,01000000,400.000000,0,0,128,64,400
0000000000000000,00000000,10000000,10000000,400.000000,0,0,128,128,400
0000000000000000,00000000,10000000,11000000,400.000000,0,0,128,192,400
0000000000000000,00000000,11000000,00000000,400.000000,0,0,192,0,400
0000000000000000,00000000,11000000,01000000,400.000000,0,0,192,64,400
0000000000000000,00000000,11000000,10000000,400.000000,0,0,192,128,400
0000000000000000,00000000,11000000,11000000,400.000000,0,0,192,192,400
0000000000000000,01000000,00000000,00000000,400.000000,0,64,0,0,400
0000000000000000,01000000,00000000,01000000,400.000000,0,64,0,64,400
0000000000000000,01000000,00000000,10000000,400.000000,0,64,0,128,400
0000000000000000,01000000,00000000,11000000,400.000000,0,64,0,192,400
0000000000000000,01000000,01000000,00000000,400.000000,0,64,64,0,400
0000000000000000,01000000,01000000,01000000,400.000000,0,64,64,64,400
0000000000000000,01000000,01000000,10000000,400.000000,0,64,64,128,400
0000000000000000,01000000,01000000,11000000,400.000000,0,64,64,192,400
0000000000000000,01000000,10000000,00000000,400.000000,0,64,128,0,400
0000000000000000,01000000,10000000,01000000,400.000000,0,64,128,64,400
0000000000000000,01000000,10000000,10000000,400.000000,0,64,128,128,400
0000000000000000,01000000,10000000,11000000,400.000000,0,64,128,192,400
0000000000000000,01000000,11000000,00000000,400.000000,0,64,192,0,400
0000000000000000,01000000,11000000,01000000,400.000000,0,64,192,64,400
0000000000000000,01000000,11000000,10000000,400.000000,0,64,192,128,400
0000000000000000,01000000,11000000,11000000,400.000000,0,64,192,192,400
0000000000000000,10000000,00000000,00000000,400.000000,0,128,0,0,400
0000000000000000,10000000,00000000,01000000,400.000000,0,128,0,64,400
0000000000000000,10000000,00000000,10000000,400.000000,0,128,0,128,400
0000000000000000,10000000,00000000,11000000,400.000000,0,128,0,192,400
0000000000000000,10000000,01000000,00000000,400.000000,0,128,64,0,400
0000000000000000,10000000,01000000,01000000,400.000000,0,128,64,64,400
